Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
1245,1526,881,1442,1200,1217,1187,1177,2242,1722,1349,1546,1806,1550,1740,1743,1543,1325,1416,1555,1697,1450,1937,1673,2278,1443,1701,1721,1495,1721,1434,1866,1925,1611,1662,1777
1695,1963,1305,1853,1599,1603,1560,1537,2589,2056,1670,1855,2102,1833,2010,2000,1787,1556,1635,1761,1890,1630,2104,1827,2419,1572,1817,1824,1585,1798,1498,1917,1964,1637,1675,1777
